psraid,sample,state,cregion,usr,pial1a,pial2,pial3a,pial3b,pial3c,employ,par,sex,age,educ2,hisp,race,inc
37,Landline,Ohio,Midwest,Urban,No,NA,NA,NA,NA,Not employed,No,Female,65,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
38,Landline,Missouri,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,55,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$75,000 to under $100,000"
39,Landline,Illinois,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Female,74,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
40,Landline,Missouri,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,Yes,Female,42,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
41,Landline,Missouri,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,No,Female,19,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
42,Landline,Pennsylvania,Northeast,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,53,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000"
43,Landline,New York,Northeast,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Female,27,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Mixed race,"$50,000 to under $75,000"
44,Landline,Virginia,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,NA,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$10,000 to under $20,000"
45,Landline,Arkansas,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this",Cell phone is not able to do this (VOL.),Employed full-time,No,Female,58,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
46,Landline,Missouri,Midwest,Suburban,No,NA,NA,NA,NA,Employed full-time,No,Male,NA,Two year associate degree from a college or university,No,White,"$50,000 to under $75,000"
47,Landline,Pennsylvania,Northeast,Urban,No,NA,NA,NA,NA,Not employed,No,Female,74,"Some college, no degree (includes some community college)",No,Black or African-American,"$40,000 to under $50,000"
48,Landline,Wisconsin,Midwest,Urban,Yes,"Yes, smartphone","No, have not done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Male,40,"Some college, no degree (includes some community college)",No,Black or African-American,"$75,000 to under $100,000"
49,Landline,North Carolina,South,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,60,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
50,Landline,New York,Northeast,Suburban,No,NA,NA,NA,NA,Not employed,No,Male,81,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
51,Landline,Vermont,Northeast,Rural,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,67,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
52,Landline,Texas,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,84,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
53,Landline,Mississippi,South,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,65,Two year associate degree from a college or university,Yes,White,(DO NOT READ) Donêt know/Refused
54,Landline,Minnesota,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,46,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
55,Landline,Illinois,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,77,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000"
56,Landline,Rhode Island,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,Yes,Female,45,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Yes,White,"$150,000 or over"
57,Landline,Minnesota,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,40,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
58,Landline,Arkansas,South,Rural,No,NA,NA,NA,NA,Employed full-time,No,Male,55,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$20,000 to under $30,000"
59,Landline,Pennsylvania,Northeast,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,71,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
60,Landline,Vermont,Northeast,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,56,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
61,Landline,Illinois,Midwest,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,63,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
62,Landline,Minnesota,Midwest,Urban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,85,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
63,Landline,Massachusetts,Northeast,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,78,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
64,Landline,Michigan,Midwest,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,73,"Some college, no degree (includes some community college)",No,White,"Less than $10,000"
65,Landline,North Carolina,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,51,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
66,Landline,South Carolina,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,54,Two year associate degree from a college or university,No,White,"$20,000 to under $30,000"
67,Landline,Florida,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,NA,Don't know/Refused (VOL.),No,White,(DO NOT READ) Donêt know/Refused
68,Landline,Indiana,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,56,Two year associate degree from a college or university,No,White,"$50,000 to under $75,000"
69,Landline,Florida,South,Rural,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,75,Less than high school (Grades 1-8 or no formal schooling),No,Black or African-American,"$20,000 to under $30,000"
70,Landline,Florida,South,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,65,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
71,Landline,Ohio,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Male,50,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
72,Landline,Indiana,Midwest,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,90,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
73,Landline,Montana,West,Urban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Employed part-time,No,Female,75,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Native American/American Indian,"$20,000 to under $30,000"
74,Landline,Vermont,Northeast,Rural,No,NA,NA,NA,NA,Not employed,No,Female,85,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
75,Landline,Missouri,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,56,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
76,Landline,Arizona,West,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,49,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$75,000 to under $100,000"
77,Landline,Maine,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,33,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,(DO NOT READ) Donêt know/Refused
78,Landline,Idaho,West,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,69,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
79,Landline,Colorado,West,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,72,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$150,000 or over"
80,Landline,Louisiana,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,73,High school graduate (Grade 12 with diploma or GED certificate),(DO NOT READ) Donêt know/Refused,White,"$50,000 to under $75,000"
81,Landline,California,West,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,40,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Yes,Black or African-American,"$100,000 to under $150,000"
82,Landline,Arizona,West,Urban,No,NA,NA,NA,NA,Employed part-time,No,Male,53,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000"
83,Landline,New Mexico,West,Rural,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","No, have not done this",Employed full-time,Yes,Female,46,High school graduate (Grade 12 with diploma or GED certificate),Yes,White,"$20,000 to under $30,000"
84,Landline,New Mexico,West,Rural,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,No,Female,18,"Some college, no degree (includes some community college)",Yes,White,"Less than $10,000"
85,Landline,Texas,South,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,71,"Some college, no degree (includes some community college)",Yes,White,"$40,000 to under $50,000"
86,Landline,Iowa,Midwest,Suburban,No,NA,NA,NA,NA,Not employed,No,Male,63,Two year associate degree from a college or university,No,White,"$30,000 to under $40,000"
87,Landline,Washington,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed full-time,Yes,Female,48,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
88,Landline,New York,Northeast,Urban,No,NA,NA,NA,NA,Employed full-time,No,Male,51,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Black or African-American,"$40,000 to under $50,000"
89,Landline,Connecticut,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","Yes, have done this",Employed full-time,Yes,Male,30,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
90,Landline,North Carolina,South,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,32,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$40,000 to under $50,000"
91,Landline,Kentucky,South,Rural,No,NA,NA,NA,NA,Employed part-time,No,Male,62,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,(DO NOT READ) Donêt know/Refused
92,Landline,New York,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,63,"Some postgraduate or professional schooling, no postgraduate degree",No,White,"$75,000 to under $100,000"
93,Landline,Washington,West,Urban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,66,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$150,000 or over"
94,Landline,Arizona,West,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,NA,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
95,Landline,Arizona,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,74,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
96,Landline,Oklahoma,South,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,77,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
97,Landline,Louisiana,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,57,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$20,000 to under $30,000"
98,Landline,Washington,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,70,"Some postgraduate or professional schooling, no postgraduate degree",No,White,"$50,000 to under $75,000"
99,Landline,Indiana,Midwest,Rural,Yes,Not sure/Don't know,"Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,64,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
100,Landline,Vermont,Northeast,Rural,No,NA,NA,NA,NA,Not employed,No,Female,73,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
101,Landline,Washington,West,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,80,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$40,000 to under $50,000"
102,Landline,Colorado,West,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,Yes,Male,52,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
103,Landline,Florida,South,Urban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,80,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Black or African-American,"$20,000 to under $30,000"
104,Landline,California,West,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,29,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000"
105,Landline,Arizona,West,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,NA,High school graduate (Grade 12 with diploma or GED certificate),Yes,Other (SPECIFY),"$20,000 to under $30,000"
106,Landline,Texas,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,69,"Some college, no degree (includes some community college)",No,White,"$40,000 to under $50,000"
107,Landline,Missouri,Midwest,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,81,Two year associate degree from a college or university,No,White,"Less than $10,000"
108,Landline,Alabama,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,52,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000"
109,Landline,Texas,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,41,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
110,Landline,Wisconsin,Midwest,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,19,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$75,000 to under $100,000"
111,Landline,Minnesota,Midwest,Urban,No,NA,NA,NA,NA,Employed part-time,No,Female,42,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
112,Landline,Minnesota,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,48,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
113,Landline,Texas,South,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,82,Less than high school (Grades 1-8 or no formal schooling),Yes,White,"Less than $10,000"
114,Landline,Wisconsin,Midwest,Suburban,Yes,"Yes, smartphone",(DO NOT READ) Don't know,"Yes, have done this","Yes, have done this",Employed part-time,No,Female,19,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$150,000 or over"
115,Landline,Wisconsin,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,58,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$75,000 to under $100,000"
116,Landline,Alabama,South,Rural,No,NA,NA,NA,NA,Not employed,Yes,Female,61,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000"
117,Landline,Nebraska,Midwest,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,Yes,Female,55,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Black or African-American,"$30,000 to under $40,000"
118,Landline,Missouri,Midwest,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,50,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
119,Landline,Alabama,South,Urban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Male,71,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"Less than $10,000"
120,Landline,Illinois,Midwest,Suburban,No,NA,NA,NA,NA,Employed part-time,No,Male,68,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$20,000 to under $30,000"
121,Landline,Texas,South,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,57,"Some college, no degree (includes some community college)",No,Black or African-American,"$40,000 to under $50,000"
122,Landline,Texas,South,Urban,No,NA,NA,NA,NA,Not employed,No,Female,69,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,(DO NOT READ) Donêt know/Refused
123,Landline,Illinois,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this",Cell phone is not able to do this (VOL.),Employed part-time,No,Female,80,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000"
124,Landline,Texas,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,27,High school graduate (Grade 12 with diploma or GED certificate),Yes,Other (SPECIFY),"$30,000 to under $40,000"
125,Landline,Oregon,West,Suburban,Yes,"No, not a smartphone","Yes, have done this",Cell phone is not able to do this (VOL.),Cell phone is not able to do this (VOL.),Employed full-time,No,Male,48,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
